Census_Area,NPV,CO2_lbs_saved,CO2_driving_miles_saved,HOUSEUNITS,total_NPV,total_CO2_lbs,total_CO2_miles
Aleutians East Borough,33596.78005738113,5859.519091567726,6569.932458205999,747.0,25096794.702863704,4377060.761401091,4907739.546279881
Aleutians West Census Area,25616.350827688213,6765.392817051641,7585.635129208036,1929.0,49413940.74661056,13050442.744092615,14632690.164242301
Anchorage municipality,17060.47872711877,4789.64604497497,5370.347040849015,113032.0,1928380031.4836888,541383271.7556108,607021066.7212459
Bethel Census Area,25797.328484533973,4337.633245712388,4863.531803115018,5919.0,152694387.2999566,25674451.181371626,28787244.742637794
Bristol Bay Borough,34642.855507827,6107.2697055101125,6847.72057949106,969.0,33568926.98708437,5917944.344639299,6635441.2415268365
Denali Borough,15194.269368161411,4804.294012991503,5386.770941687067,1771.0,26909051.051013857,8508404.697007952,9539971.337727794
Dillingham Census Area,24979.85675556342,5275.8236678019575,5915.469276095433,2427.0,60626112.345752425,12804424.04175535,14356843.933083616
Fairbanks North Star Borough,9512.412164159034,3723.190044788389,4174.592955678906,41783.0,397457117.4550569,155566049.64139327,174427017.46713173
Haines Borough,14429.327229996596,5528.442517537857,6198.715862461705,1631.0,23534232.71212445,9016889.746104246,10110105.571675042
Hoonah-Angoon Census Area,18084.27095325947,5083.95802844861,5700.341673999893,1771.0,32027243.85822252,9003689.668382488,10095305.104653811
Juneau City and Borough,18158.713541750618,5721.7539389960475,6415.4645345852905,13055.0,237062005.28755432,74697497.6735934,83753889.49901097
Kenai Peninsula Borough,14938.417375300265,5300.720913553135,5943.385086322246,30578.0,456786926.5019315,162085444.09462777,181736829.16956162
Ketchikan Gateway Borough,15010.675647837452,5440.8803101252,6100.537534240118,6166.0,92555826.04456572,33548467.99223198,37615914.43612456
Kodiak Island Borough,27505.03976348331,7910.269214935001,8869.31737164875,5303.0,145859225.86575198,41948157.64680031,47033990.02185333
Lake and Peninsula Borough,20148.0934348307,4481.170914882414,5024.472108440156,1502.0,30262436.33911571,6730718.714153386,7546757.106877115
Matanuska-Susitna Borough,19571.72623002189,6141.057824402028,6885.605200317566,41329.0,808879873.3605747,253803778.8247114,284575177.3239247
Nome Census Area,31466.65352795174,4948.496617450724,5548.4567996541255,4008.0,126118347.34003058,19833574.442742504,22238214.853013735
North Slope Borough,22658.399180191165,3783.3997418849162,4242.102530623798,2500.0,56645997.95047791,9458499.35471229,10605256.326559495
Northwest Arctic Borough,23796.968999993314,3710.143916452682,4159.965103005802,2707.0,64418395.0829819,10043359.58183741,11261025.533836706
Petersburg Borough,16507.828868966342,5906.783559274713,6622.927312502972,1994.0,32916610.764718886,11778126.417193778,13206117.061130926
Prince of Wales-Hyder Census Area,11438.312352884439,4489.84956441307,5034.202965248338,2992.0,34223430.55983024,13433629.896723906,15062335.272023028
Sitka City and Borough,15120.664983037423,5472.496806345982,6135.987242908972,4102.0,62024967.76041951,22448181.899631217,25169819.670412604
Skagway Municipality,14916.281749254142,7692.349383559372,8624.976743848449,636.0,9486755.192525635,4892334.207943761,5485485.209087613
Southeast Fairbanks Census Area,10045.007832687514,3786.8011644224985,4245.916344690194,3915.0,39326205.66497161,14825326.55871408,16622762.48946211
Valdez-Cordova Census Area,16219.275596539597,5366.678374325994,6017.339288983018,6102.0,98970019.69008462,32747471.440137215,36717804.341374375
Wade Hampton Census Area,23036.678214335814,4281.632390011328,4800.741353283193,2183.0,50289068.541895084,9346803.50739473,10480018.37421721
Wrangell City and Borough,12414.53526295813,8260.111049853482,9261.574345395435,1428.0,17727956.35550421,11795438.579190772,13225528.16522468
Yakutat City and Borough,15889.02359116791,6375.903959300795,7148.924291909232,450.0,7150060.61602556,2869156.7816853574,3217015.9313591546
Yukon-Koyukuk Census Area,19682.512025563425,3436.8117201993896,3853.4938653539807,4038.0,79477983.55922511,13877845.726165134,15560408.228299374
