,estimate
total_NPV_current,44083026.58119607
total_NPV_5p,62133527.08377122
total_NPV_15p,169797294.20078242
total_CO2_lbs_current,20009641.53102849
total_CO2_lbs_5p,30881736.723766647
total_CO2_lbs_15p,144078754.0879393
total_CO2_miles_current,22435628.473496106
total_CO2_miles_5p,34625866.269336246
total_CO2_miles_15p,161546991.86532924
total_Heating_Days_Above5_current,1324617.1041045208
total_Heating_Days_Above5_5p,2223757.7490732973
total_Heating_Days_Above5_15p,15341798.642153036
total_Heating_Days_Below5_current,26068.962769193502
total_Heating_Days_Below5_5p,36617.412259981444
total_Heating_Days_Below5_15p,460492.9352905859
total_Heating_Days_Covered_current,0.9806994656948431
total_Heating_Days_Covered_5p,0.9838002943553924
total_Heating_Days_Covered_15p,0.9708591040081871
